,Sample,Rd_all,Rd_in_cells,Frc_in_cells,UMI_in_cells,Cells,Med_nFeature,Good_BC,WL,Species,Paired,Strand,all_u+m,all_u,exon_u+m,exon_u,full_u+m,full_u,dataset
0,GSM4712229,16365256,3853482,0.235,3692264,6207,378,0.530676,v2,Mouse,Single,Forward,0.431008,0.363071,0.32536,0.315193,0.37569,0.353111,GSE155794
1,GSM4712230,481908143,271042990,0.562,168648823,14774,3260,0.976741,v3,Mouse,Single,Forward,0.953956,0.811003,0.69019,0.672259,0.829317,0.786786,GSE155794
0,GSM4869646,139776259,69043028,0.494,6687355,2021,1235,0.806425,v2,Human,Single,Reverse,0.96539,0.69321,0.518849,0.506566,0.669586,0.536391,GSE160243
1,GSM4869647,154971965,89160681,0.575,38187562,7129,1581,0.847546,v2,Human,Single,Reverse,0.974957,0.792731,0.581473,0.570929,0.700923,0.608495,GSE160243
2,GSM4869648,138883181,78616908,0.566,8611605,1660,1799,0.832806,v2,Human,Single,Reverse,0.971436,0.770584,0.551999,0.542077,0.69378,0.589019,GSE160243
3,GSM4869649,153450463,88684857,0.578,15021122,3727,1562,0.834157,v2,Human,Single,Reverse,0.95824,0.741201,0.563123,0.548746,0.697287,0.590275,GSE160243
0,GSM4906841,319873564,132080602,0.413,94300643,13593,1288,0.854793,v2,Human,Single,Forward,0.666689,0.613735,0.452585,0.448171,0.565502,0.545855,GSE161422
1,GSM4906842,234008739,62059279,0.265,22973976,4892,488,0.810315,v2,Human,Single,Forward,0.492129,0.447444,0.31268,0.309654,0.378725,0.364155,GSE161422
2,GSM4906843,280697541,84992454,0.303,66049908,7973,2391,0.660767,v2,Human,Single,Forward,0.559798,0.515609,0.341209,0.338254,0.468141,0.447855,GSE161422
3,GSM4906844,277476979,56170401,0.202,31329510,4498,619,0.668754,v2,Human,Single,Forward,0.530565,0.486936,0.364747,0.361448,0.430728,0.416809,GSE161422
0,GSM6065441,131771225,16124674,0.122,3097928,675,1385,0.80049,v2,Mouse,Single,Reverse,0.391097,0.28904,0.152854,0.147684,0.188227,0.173594,GSE201491
1,GSM6065442,132708066,24146965,0.182,9325575,960,1750,0.876522,v2,Mouse,Single,Reverse,0.404498,0.292706,0.197174,0.18941,0.231091,0.210293,GSE201491
2,GSM6065443,142929814,19060294,0.133,5481309,1263,1557,0.821181,v2,Mouse,Single,Reverse,0.371276,0.275628,0.157521,0.152121,0.194399,0.17911,GSE201491
